Target,Source,BDeu
AT2G22420,AT1G79840,-99.451680399202
AT2G22420,AT1G44830,-99.7793678062668
AT2G22420,AT5G67060,-103.033088108466
AT2G22420,AT5G17810,-103.033088108466
AT2G22420,AT5G57520,-103.033088108466
AT2G22420,AT5G64750,-125.751628208513
AT2G22420,AT3G58710,-126.618017047364
AT2G22420,AT4G09460,-130.449148532626
AT2G22420,AT2G47890,-131.782738830249
AT2G22420,AT5G47230,-132.377699091508
AT2G22420,AT2G46990,-133.022047928919
AT2G22420,AT1G49475,-134.069808736894
AT2G22420,AT1G71030,-134.069808736894
AT2G22420,AT1G77450,-134.069808736894
AT2G22420,AT2G25900,-134.069808736894
AT2G22420,AT3G01970,-134.069808736894
AT2G22420,AT3G16770,-134.069808736894
AT2G22420,AT3G60530,-134.069808736894
AT2G22420,AT4G00180,-134.069808736894
AT2G22420,AT4G00730,-134.069808736894
AT2G22420,AT4G29930,-134.069808736894
AT2G22420,AT5G12330,-134.069808736894
AT2G22420,AT5G17490,-134.069808736894
AT2G22420,AT5G51790,-134.069808736894
AT2G22420,AT1G36060,-135.782399103702
AT2G22420,AT1G43160,-135.782399103702
AT2G22420,AT2G23340,-135.782399103702
AT2G22420,AT3G03660,-135.782399103702
AT2G22420,AT3G58190,-135.782399103702
AT2G22420,AT1G47760,-159.073711234632
AT2G22420,AT4G28110,-159.520559230384
AT2G22420,AT3G15030,-161.216738299004
AT2G22420,AT1G52890,-161.700303877729
AT2G22420,AT4G16750,-162.062536106716
AT2G22420,AT1G74840,-162.534323857768
AT2G22420,AT5G53660,-162.641635593555
AT2G22420,AT5G47220,-162.900025595993
AT2G22420,AT5G41570,-163.829935163924
AT2G22420,AT3G50330,-164.99105963056
AT2G22420,AT5G03740,-164.99105963056
AT2G22420,AT3G06740,-165.242374058839
AT2G22420,AT3G61630,-165.242374058839
AT2G22420,AT4G37540,-165.242374058839
AT2G22420,AT1G17310,-165.242374058839
AT2G22420,AT2G43140,-165.381434492941
AT2G22420,AT3G10040,-165.842269184577
AT2G22420,AT5G48890,-165.936478635342
AT2G22420,AT1G42990,-166.565282636691
AT2G22420,AT4G17500,-166.565282636691
AT2G22420,AT4G31550,-166.565282636691
AT2G22420,AT5G51780,-166.565282636691
AT2G22420,AT4G11140,-166.974213952773
AT2G22420,AT5G47640,-166.974213952773
AT2G22420,AT2G28550,-167.422630832926
AT2G22420,AT5G10970,-167.422630832926
AT2G22420,AT1G57560,-167.422630832926
AT2G22420,AT5G08330,-167.422630832926
AT2G22420,AT4G05100,-167.474078724153
AT2G22420,AT5G23280,-167.5026735406
AT2G22420,AT1G06180,-169.357253022203
AT2G22420,AT3G60390,-169.371394050955
AT2G22420,AT5G10120,-170.588813783044
AT2G22420,AT5G39610,-189.630158937902
AT2G22420,AT2G45160,-190.726987104742
AT2G22420,AT5G06710,-190.860266147955
AT2G22420,AT3G49930,-191.248689790207
AT2G22420,AT3G25730,-192.257414834125
AT2G22420,AT1G68840,-193.417743490557
AT2G22420,AT5G44260,-193.81151487707
AT2G22420,AT2G36080,-195.225923169793
AT2G22420,AT1G64380,-196.089767869394
AT2G22420,AT3G56400,-196.094423237808
AT2G22420,AT3G02550,-197.992575747321
AT2G22420,AT3G15210,-199.349017145264
AT2G22420,AT1G67100,-202.038215031366
AT2G22420,AT5G13910,-204.117656573036
AT2G22420,AT3G19580,-206.356617759179
AT2G22420,AT5G60850,-206.659567303762
AT2G22420,AT2G46970,-206.693089995799
AT2G22420,AT5G43170,-206.980772068249
AT2G22420,AT4G14550,-208.328529108961
AT2G22420,AT1G53230,-208.772336195545
AT2G22420,AT5G53980,-219.497863467842
AT2G22420,AT1G28370,-230.943828086201
AT2G22420,AT1G25560,-233.301484352721
AT2G22420,AT3G23240,-233.71089601371
