Target,Source1,Source2,Source3,BDeu
AT5G15630,AT5G23280,AT1G64380,AT1G74840,-88.9875953822323
AT5G15630,AT5G23280,AT1G25560,AT1G52890,-88.9875953822323
AT5G15630,AT5G23280,AT1G52890,AT1G74840,-88.9875953822323
AT5G15630,AT5G23280,AT1G52890,AT5G39610,-88.9875953822323
AT5G15630,AT5G23280,AT1G74840,AT3G25730,-88.9875953822323
AT5G15630,AT5G23280,AT5G39610,AT5G47230,-88.9875953822323
AT5G15630,AT5G23280,AT1G25560,AT5G41570,-88.9875953822323
AT5G15630,AT5G23280,AT1G74840,AT5G41570,-88.9875953822323
AT5G15630,AT1G68840,AT2G28550,AT5G39610,-88.9875953822323
AT5G15630,AT1G68840,AT5G10970,AT5G39610,-88.9875953822323
AT5G15630,AT1G68840,AT1G57560,AT5G39610,-88.9875953822323
AT5G15630,AT1G68840,AT5G08330,AT5G39610,-88.9875953822323
AT5G15630,AT5G23280,AT5G39610,AT5G41570,-88.9875953822323
AT5G15630,AT3G15210,AT1G52890,AT1G74840,-115.309283178181
AT5G15630,AT3G15210,AT1G74840,AT3G25730,-115.309283178181
AT5G15630,AT1G25560,AT1G68840,AT1G36060,-115.309283178181
AT5G15630,AT1G25560,AT1G68840,AT1G43160,-115.309283178181
AT5G15630,AT1G25560,AT1G68840,AT2G23340,-115.309283178181
AT5G15630,AT1G25560,AT1G68840,AT3G03660,-115.309283178181
AT5G15630,AT3G15210,AT1G36060,AT1G74840,-115.309283178181
AT5G15630,AT3G15210,AT1G43160,AT1G74840,-115.309283178181
AT5G15630,AT3G15210,AT1G64380,AT1G74840,-115.309283178181
AT5G15630,AT3G15210,AT1G74840,AT5G41570,-115.309283178181
AT5G15630,AT3G15210,AT3G58190,AT5G39610,-115.309283178181
AT5G15630,AT3G15210,AT4G28110,AT5G39610,-115.309283178181
AT5G15630,AT5G23280,AT1G36060,AT1G74840,-115.309283178181
AT5G15630,AT5G23280,AT1G43160,AT1G74840,-115.309283178181
AT5G15630,AT5G23280,AT1G74840,AT2G23340,-115.309283178181
AT5G15630,AT5G23280,AT1G74840,AT3G03660,-115.309283178181
AT5G15630,AT5G23280,AT3G58190,AT5G39610,-115.309283178181
AT5G15630,AT5G23280,AT4G28110,AT5G39610,-115.309283178181
AT5G15630,AT5G23280,AT5G39610,AT5G47220,-115.309283178181
AT5G15630,AT1G68840,AT3G58190,AT5G39610,-115.309283178181
AT5G15630,AT1G68840,AT4G28110,AT5G39610,-115.309283178181
AT5G15630,AT4G16750,AT1G74840,AT5G41570,-115.309283178181
AT5G15630,AT3G15210,AT1G25560,AT1G36060,-115.309283178181
AT5G15630,AT3G15210,AT1G25560,AT1G43160,-115.309283178181
