Target,Source1,Source2,BDeu
AT2G37090,AT3G15210,AT1G56650,-29.6625317941544
AT2G37090,AT3G15210,AT1G74500,-29.6625317941544
AT2G37090,AT3G15210,AT2G37740,-29.6625317941544
AT2G37090,AT3G15210,AT2G40970,-29.6625317941544
AT2G37090,AT3G15210,AT3G03450,-29.6625317941544
AT2G37090,AT3G15210,AT3G17600,-29.6625317941544
AT2G37090,AT3G15210,AT3G27650,-29.6625317941544
AT2G37090,AT3G15210,AT3G56970,-29.6625317941544
AT2G37090,AT3G15210,AT4G00150,-29.6625317941544
AT2G37090,AT3G15210,AT4G01250,-29.6625317941544
AT2G37090,AT3G15210,AT4G06746,-29.6625317941544
AT2G37090,AT3G15210,AT4G14540,-29.6625317941544
AT2G37090,AT3G15210,AT4G27900,-29.6625317941544
AT2G37090,AT3G15210,AT4G29080,-29.6625317941544
AT2G37090,AT3G15210,AT4G39780,-29.6625317941544
AT2G37090,AT3G15210,AT5G19790,-29.6625317941544
AT2G37090,AT3G15210,AT5G22890,-29.6625317941544
AT2G37090,AT3G15210,AT5G25890,-29.6625317941544
AT2G37090,AT3G15210,AT5G58010,-29.6625317941544
AT2G37090,AT5G23280,AT1G56650,-29.6625317941544
AT2G37090,AT5G23280,AT1G74500,-29.6625317941544
AT2G37090,AT5G23280,AT2G37740,-29.6625317941544
AT2G37090,AT5G23280,AT2G40970,-29.6625317941544
AT2G37090,AT5G23280,AT3G03450,-29.6625317941544
AT2G37090,AT5G23280,AT3G17600,-29.6625317941544
AT2G37090,AT5G23280,AT3G27650,-29.6625317941544
AT2G37090,AT5G23280,AT3G56970,-29.6625317941544
AT2G37090,AT5G23280,AT4G00150,-29.6625317941544
AT2G37090,AT5G23280,AT4G01250,-29.6625317941544
AT2G37090,AT5G23280,AT4G06746,-29.6625317941544
AT2G37090,AT5G23280,AT4G14540,-29.6625317941544
AT2G37090,AT5G23280,AT4G27900,-29.6625317941544
AT2G37090,AT5G23280,AT4G29080,-29.6625317941544
AT2G37090,AT5G23280,AT4G39780,-29.6625317941544
AT2G37090,AT5G23280,AT5G19790,-29.6625317941544
AT2G37090,AT5G23280,AT5G22890,-29.6625317941544
AT2G37090,AT5G23280,AT5G25890,-29.6625317941544
AT2G37090,AT5G23280,AT5G58010,-29.6625317941544
AT2G37090,AT1G25560,AT1G74500,-29.6625317941544
AT2G37090,AT1G25560,AT3G03450,-29.6625317941544
AT2G37090,AT1G25560,AT3G56970,-29.6625317941544
AT2G37090,AT1G42990,AT1G56650,-29.6625317941544
AT2G37090,AT1G42990,AT1G74500,-29.6625317941544
AT2G37090,AT1G42990,AT2G37740,-29.6625317941544
AT2G37090,AT1G42990,AT2G40970,-29.6625317941544
AT2G37090,AT1G42990,AT3G03450,-29.6625317941544
AT2G37090,AT1G42990,AT3G17600,-29.6625317941544
AT2G37090,AT1G42990,AT3G27650,-29.6625317941544
AT2G37090,AT1G42990,AT3G56970,-29.6625317941544
AT2G37090,AT1G42990,AT4G00150,-29.6625317941544
AT2G37090,AT1G42990,AT4G01250,-29.6625317941544
AT2G37090,AT1G42990,AT4G06746,-29.6625317941544
AT2G37090,AT1G42990,AT4G14540,-29.6625317941544
AT2G37090,AT1G42990,AT4G27900,-29.6625317941544
AT2G37090,AT1G42990,AT4G29080,-29.6625317941544
AT2G37090,AT1G42990,AT4G39780,-29.6625317941544
AT2G37090,AT1G42990,AT5G19790,-29.6625317941544
AT2G37090,AT1G42990,AT5G22890,-29.6625317941544
AT2G37090,AT1G42990,AT5G25890,-29.6625317941544
AT2G37090,AT1G42990,AT5G58010,-29.6625317941544
AT2G37090,AT2G28550,AT1G56650,-29.6625317941544
AT2G37090,AT2G28550,AT1G74500,-29.6625317941544
AT2G37090,AT2G28550,AT2G37740,-29.6625317941544
AT2G37090,AT2G28550,AT2G40970,-29.6625317941544
AT2G37090,AT2G28550,AT3G03450,-29.6625317941544
AT2G37090,AT2G28550,AT3G17600,-29.6625317941544
AT2G37090,AT2G28550,AT3G27650,-29.6625317941544
AT2G37090,AT2G28550,AT3G56970,-29.6625317941544
AT2G37090,AT2G28550,AT4G00150,-29.6625317941544
AT2G37090,AT2G28550,AT4G01250,-29.6625317941544
AT2G37090,AT2G28550,AT4G06746,-29.6625317941544
AT2G37090,AT2G28550,AT4G14540,-29.6625317941544
AT2G37090,AT2G28550,AT4G27900,-29.6625317941544
AT2G37090,AT2G28550,AT4G29080,-29.6625317941544
AT2G37090,AT2G28550,AT4G39780,-29.6625317941544
AT2G37090,AT2G28550,AT5G19790,-29.6625317941544
AT2G37090,AT2G28550,AT5G22890,-29.6625317941544
AT2G37090,AT2G28550,AT5G25890,-29.6625317941544
AT2G37090,AT2G28550,AT5G58010,-29.6625317941544
AT2G37090,AT2G46970,AT1G56650,-29.6625317941544
AT2G37090,AT2G46970,AT1G74500,-29.6625317941544
AT2G37090,AT2G46970,AT2G37740,-29.6625317941544
AT2G37090,AT2G46970,AT2G40970,-29.6625317941544
AT2G37090,AT2G46970,AT3G03450,-29.6625317941544
AT2G37090,AT2G46970,AT3G17600,-29.6625317941544
AT2G37090,AT2G46970,AT3G27650,-29.6625317941544
AT2G37090,AT2G46970,AT3G56970,-29.6625317941544
AT2G37090,AT2G46970,AT4G00150,-29.6625317941544
AT2G37090,AT2G46970,AT4G01250,-29.6625317941544
AT2G37090,AT2G46970,AT4G06746,-29.6625317941544
AT2G37090,AT2G46970,AT4G14540,-29.6625317941544
AT2G37090,AT2G46970,AT4G27900,-29.6625317941544
AT2G37090,AT2G46970,AT4G29080,-29.6625317941544
AT2G37090,AT2G46970,AT4G39780,-29.6625317941544
AT2G37090,AT2G46970,AT5G19790,-29.6625317941544
AT2G37090,AT2G46970,AT5G22890,-29.6625317941544
AT2G37090,AT2G46970,AT5G25890,-29.6625317941544
AT2G37090,AT2G46970,AT5G58010,-29.6625317941544
AT2G37090,AT3G50330,AT1G56650,-29.6625317941544
AT2G37090,AT3G50330,AT1G74500,-29.6625317941544
AT2G37090,AT3G50330,AT2G40970,-29.6625317941544
AT2G37090,AT3G50330,AT3G03450,-29.6625317941544
AT2G37090,AT3G50330,AT3G17600,-29.6625317941544
AT2G37090,AT3G50330,AT3G27650,-29.6625317941544
AT2G37090,AT3G50330,AT3G56970,-29.6625317941544
AT2G37090,AT3G50330,AT4G00150,-29.6625317941544
AT2G37090,AT3G50330,AT4G01250,-29.6625317941544
AT2G37090,AT3G50330,AT4G06746,-29.6625317941544
AT2G37090,AT3G50330,AT4G14540,-29.6625317941544
AT2G37090,AT3G50330,AT4G27900,-29.6625317941544
AT2G37090,AT3G50330,AT4G29080,-29.6625317941544
AT2G37090,AT3G50330,AT4G39780,-29.6625317941544
AT2G37090,AT3G50330,AT5G19790,-29.6625317941544
AT2G37090,AT3G50330,AT5G22890,-29.6625317941544
AT2G37090,AT3G50330,AT5G25890,-29.6625317941544
AT2G37090,AT3G50330,AT5G58010,-29.6625317941544
AT2G37090,AT5G03740,AT1G56650,-29.6625317941544
AT2G37090,AT5G03740,AT1G74500,-29.6625317941544
AT2G37090,AT5G03740,AT2G40970,-29.6625317941544
AT2G37090,AT5G03740,AT3G03450,-29.6625317941544
AT2G37090,AT5G03740,AT3G17600,-29.6625317941544
AT2G37090,AT5G03740,AT3G27650,-29.6625317941544
AT2G37090,AT5G03740,AT3G56970,-29.6625317941544
AT2G37090,AT5G03740,AT4G00150,-29.6625317941544
AT2G37090,AT5G03740,AT4G01250,-29.6625317941544
AT2G37090,AT5G03740,AT4G06746,-29.6625317941544
AT2G37090,AT5G03740,AT4G14540,-29.6625317941544
AT2G37090,AT5G03740,AT4G27900,-29.6625317941544
AT2G37090,AT5G03740,AT4G29080,-29.6625317941544
AT2G37090,AT5G03740,AT4G39780,-29.6625317941544
AT2G37090,AT5G03740,AT5G19790,-29.6625317941544
AT2G37090,AT5G03740,AT5G22890,-29.6625317941544
AT2G37090,AT5G03740,AT5G25890,-29.6625317941544
AT2G37090,AT5G03740,AT5G58010,-29.6625317941544
AT2G37090,AT5G10970,AT1G56650,-29.6625317941544
AT2G37090,AT5G10970,AT1G74500,-29.6625317941544
AT2G37090,AT5G10970,AT2G37740,-29.6625317941544
AT2G37090,AT5G10970,AT2G40970,-29.6625317941544
AT2G37090,AT5G10970,AT3G03450,-29.6625317941544
AT2G37090,AT5G10970,AT3G17600,-29.6625317941544
AT2G37090,AT5G10970,AT3G27650,-29.6625317941544
AT2G37090,AT5G10970,AT3G56970,-29.6625317941544
AT2G37090,AT5G10970,AT4G00150,-29.6625317941544
AT2G37090,AT5G10970,AT4G01250,-29.6625317941544
AT2G37090,AT5G10970,AT4G06746,-29.6625317941544
AT2G37090,AT5G10970,AT4G14540,-29.6625317941544
AT2G37090,AT5G10970,AT4G27900,-29.6625317941544
AT2G37090,AT5G10970,AT4G29080,-29.6625317941544
AT2G37090,AT5G10970,AT4G39780,-29.6625317941544
AT2G37090,AT5G10970,AT5G19790,-29.6625317941544
AT2G37090,AT5G10970,AT5G22890,-29.6625317941544
AT2G37090,AT5G10970,AT5G25890,-29.6625317941544
AT2G37090,AT5G10970,AT5G58010,-29.6625317941544
AT2G37090,AT5G13910,AT1G56650,-29.6625317941544
AT2G37090,AT5G13910,AT1G74500,-29.6625317941544
AT2G37090,AT5G13910,AT2G40970,-29.6625317941544
AT2G37090,AT5G13910,AT3G03450,-29.6625317941544
AT2G37090,AT5G13910,AT3G17600,-29.6625317941544
AT2G37090,AT5G13910,AT3G27650,-29.6625317941544
AT2G37090,AT5G13910,AT3G56970,-29.6625317941544
AT2G37090,AT5G13910,AT4G00150,-29.6625317941544
AT2G37090,AT5G13910,AT4G01250,-29.6625317941544
AT2G37090,AT5G13910,AT4G06746,-29.6625317941544
AT2G37090,AT5G13910,AT4G14540,-29.6625317941544
AT2G37090,AT5G13910,AT4G27900,-29.6625317941544
AT2G37090,AT5G13910,AT4G29080,-29.6625317941544
AT2G37090,AT5G13910,AT4G39780,-29.6625317941544
AT2G37090,AT5G13910,AT5G19790,-29.6625317941544
AT2G37090,AT5G13910,AT5G22890,-29.6625317941544
AT2G37090,AT5G13910,AT5G25890,-29.6625317941544
AT2G37090,AT5G13910,AT5G58010,-29.6625317941544
AT2G37090,AT1G36060,AT1G56650,-29.6625317941544
AT2G37090,AT1G36060,AT1G74500,-29.6625317941544
AT2G37090,AT1G36060,AT2G40970,-29.6625317941544
AT2G37090,AT1G36060,AT3G03450,-29.6625317941544
AT2G37090,AT1G36060,AT3G17600,-29.6625317941544
AT2G37090,AT1G36060,AT3G27650,-29.6625317941544
AT2G37090,AT1G36060,AT3G56970,-29.6625317941544
AT2G37090,AT1G36060,AT4G00150,-29.6625317941544
AT2G37090,AT1G36060,AT4G01250,-29.6625317941544
AT2G37090,AT1G36060,AT4G06746,-29.6625317941544
AT2G37090,AT1G36060,AT4G14540,-29.6625317941544
AT2G37090,AT1G36060,AT4G27900,-29.6625317941544
AT2G37090,AT1G36060,AT4G29080,-29.6625317941544
AT2G37090,AT1G36060,AT4G39780,-29.6625317941544
AT2G37090,AT1G36060,AT5G19790,-29.6625317941544
AT2G37090,AT1G36060,AT5G22890,-29.6625317941544
AT2G37090,AT1G36060,AT5G25890,-29.6625317941544
AT2G37090,AT1G36060,AT5G58010,-29.6625317941544
AT2G37090,AT1G43160,AT1G56650,-29.6625317941544
AT2G37090,AT1G43160,AT1G74500,-29.6625317941544
AT2G37090,AT1G43160,AT2G40970,-29.6625317941544
AT2G37090,AT1G43160,AT3G03450,-29.6625317941544
AT2G37090,AT1G43160,AT3G17600,-29.6625317941544
AT2G37090,AT1G43160,AT3G27650,-29.6625317941544
AT2G37090,AT1G43160,AT3G56970,-29.6625317941544
AT2G37090,AT1G43160,AT4G00150,-29.6625317941544
AT2G37090,AT1G43160,AT4G01250,-29.6625317941544
AT2G37090,AT1G43160,AT4G06746,-29.6625317941544
AT2G37090,AT1G43160,AT4G14540,-29.6625317941544
AT2G37090,AT1G43160,AT4G27900,-29.6625317941544
AT2G37090,AT1G43160,AT4G29080,-29.6625317941544
